index,label,domain,method,run_id,bundle_dir,summary_json_status,config_status,wandb_summary_status,wandb_metadata_status,requirements_status,diff_patch_status,output_log_status,run_record_status,model_zip_status,models_dir_status,vec_normalize_status,hierarchical_report_status,notes
50,Fertilization | A2C | nonadaptive | fixed_weather | years=3000 | seed=0,fertilization,A2C,dvw9frdm,final_successful_runs\bundles\050_fertilization_a2c_nonadaptive_fixed_weather_years_3000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
51,Fertilization | A2C | adaptive | random_weather | years=3000 | seed=0,fertilization,A2C,8askyhte,final_successful_runs\bundles\051_fertilization_a2c_adaptive_random_weather_years_3000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
52,Fertilization | A2C | nonadaptive | random_weather | years=3000 | seed=0,fertilization,A2C,seskixy2,final_successful_runs\bundles\052_fertilization_a2c_nonadaptive_random_weather_years_3000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
53,Fertilization | A2C | adaptive | fixed_weather | years=3000 | seed=1,fertilization,A2C,ly6ib8mx,final_successful_runs\bundles\053_fertilization_a2c_adaptive_fixed_weather_years_3000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
54,Fertilization | A2C | nonadaptive | fixed_weather | years=3000 | seed=1,fertilization,A2C,iazt2tsh,final_successful_runs\bundles\054_fertilization_a2c_nonadaptive_fixed_weather_years_3000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
55,Fertilization | A2C | adaptive | random_weather | years=3000 | seed=1,fertilization,A2C,4nenmctl,final_successful_runs\bundles\055_fertilization_a2c_adaptive_random_weather_years_3000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
56,Fertilization | A2C | nonadaptive | random_weather | years=3000 | seed=1,fertilization,A2C,mkyczcz6,final_successful_runs\bundles\056_fertilization_a2c_nonadaptive_random_weather_years_3000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
57,Fertilization | A2C | adaptive | fixed_weather | years=3000 | seed=2,fertilization,A2C,u7uzdtty,final_successful_runs\bundles\057_fertilization_a2c_adaptive_fixed_weather_years_3000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
58,Fertilization | A2C | nonadaptive | fixed_weather | years=3000 | seed=2,fertilization,A2C,fvsjq1rw,final_successful_runs\bundles\058_fertilization_a2c_nonadaptive_fixed_weather_years_3000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
59,Fertilization | A2C | adaptive | random_weather | years=3000 | seed=2,fertilization,A2C,unah01kj,final_successful_runs\bundles\059_fertilization_a2c_adaptive_random_weather_years_3000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
60,Fertilization | A2C | nonadaptive | random_weather | years=3000 | seed=2,fertilization,A2C,z3rvls3l,final_successful_runs\bundles\060_fertilization_a2c_nonadaptive_random_weather_years_3000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
61,Fertilization | A2C | adaptive | fixed_weather | years=5000 | seed=0,fertilization,A2C,sz1zyl7q,final_successful_runs\bundles\061_fertilization_a2c_adaptive_fixed_weather_years_5000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
62,Fertilization | A2C | nonadaptive | fixed_weather | years=5000 | seed=0,fertilization,A2C,i1e6bx11,final_successful_runs\bundles\062_fertilization_a2c_nonadaptive_fixed_weather_years_5000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
63,Fertilization | A2C | adaptive | random_weather | years=5000 | seed=0,fertilization,A2C,6up2mact,final_successful_runs\bundles\063_fertilization_a2c_adaptive_random_weather_years_5000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
