num_timesteps,env_index,date,year,doy,operation_year,n_kg,p_kg,k_kg,cost_n,cost_p,cost_k,cost_total,reward,planner_applied,window_compliant,crop_name,action_raw
140,0,2007-09-01,2007,244,3,0.0,0.0,36.0,0.0,0.0,1708.7097959999999,1708.7097959999999,-0.012030727230012417,False,,,"[1, 0, 7, 8, 0, 0, 6]"
141,0,2007-09-08,2007,251,3,105.0,80.0,18.0,2405.869515,7914.5578399999995,854.3548979999999,11174.782253,-0.0783499926328659,False,,,"[0, 7, 0, 8, 7, 10, 3]"
142,0,2007-09-15,2007,258,3,0.0,32.0,6.0,0.0,3165.823136,284.784966,3450.608102,0.26161742210388184,False,,,"[1, 11, 1, 9, 0, 4, 1]"
143,0,2007-09-22,2007,265,3,0.0,8.0,42.0,0.0,791.455784,1993.4947619999998,2784.950546,-0.019480885937809944,False,,,"[0, 7, 8, 3, 0, 1, 7]"
144,0,2007-09-29,2007,272,3,90.0,80.0,24.0,2062.1738699999996,7914.5578399999995,1139.139864,11115.871574,-0.07765229791402817,False,,,"[0, 11, 4, 3, 6, 10, 4]"
145,0,2007-10-06,2007,279,3,150.0,0.0,6.0,3436.9564499999997,0.0,284.784966,3721.741416,-0.025968173518776894,False,,,"[1, 9, 3, 3, 10, 0, 1]"
146,0,2007-10-13,2007,286,3,105.0,16.0,18.0,2405.869515,1582.911568,854.3548979999999,4843.135980999999,-0.033755239099264145,False,,,"[1, 2, 7, 8, 7, 2, 3]"
147,0,2007-10-20,2007,293,3,30.0,16.0,24.0,687.3912899999999,1582.911568,1139.139864,3409.442722,-0.023740185424685478,False,,,"[0, 2, 6, 2, 2, 2, 4]"
148,0,2007-10-27,2007,300,3,90.0,16.0,6.0,2062.1738699999996,1582.911568,284.784966,3929.870404,-0.027341146022081375,False,,,"[1, 5, 2, 4, 6, 2, 1]"
149,0,2007-11-03,2007,307,3,15.0,24.0,36.0,343.69564499999996,2374.367352,1708.7097959999999,4426.772793,-0.030775243416428566,False,,,"[0, 0, 5, 2, 1, 3, 6]"
150,0,2007-11-10,2007,314,3,15.0,40.0,0.0,343.69564499999996,3957.2789199999997,0.0,4300.9745649999995,-0.029881060123443604,False,,,"[0, 5, 8, 0, 1, 5, 0]"
151,0,2007-11-17,2007,321,3,120.0,40.0,30.0,2749.5651599999997,3957.2789199999997,1423.92483,8130.768909999999,-0.05644552409648895,False,,,"[0, 13, 6, 8, 8, 5, 5]"
152,0,2007-11-24,2007,328,3,0.0,56.0,30.0,0.0,5540.190488,1423.92483,6964.115318,-0.0483073927462101,False,,,"[1, 7, 5, 4, 0, 7, 5]"
153,0,2007-12-01,2007,335,3,135.0,8.0,18.0,3093.260805,791.455784,854.3548979999999,4739.071486999999,-0.032848916947841644,False,,,"[1, 1, 0, 0, 9, 1, 3]"
154,0,2007-12-08,2007,342,3,75.0,16.0,48.0,1718.4782249999998,1582.911568,2278.279728,5579.669521,-0.038648054003715515,False,,,"[0, 7, 9, 5, 5, 2, 8]"
155,0,2007-12-15,2007,349,3,75.0,72.0,30.0,1718.4782249999998,7123.102056,1423.92483,10265.505110999999,-0.0710396096110344,False,,,"[1, 2, 7, 6, 5, 9, 5]"
156,0,2007-12-22,2007,356,3,60.0,80.0,12.0,1374.7825799999998,7914.5578399999995,569.569932,9858.910351999999,-0.06815070658922195,False,,,"[1, 13, 0, 1, 4, 10, 2]"
157,0,2007-12-29,2007,363,3,120.0,40.0,18.0,2749.5651599999997,3957.2789199999997,854.3548979999999,7561.1989779999985,-0.08327139168977737,False,,,"[0, 4, 7, 2, 8, 5, 3]"
158,0,2008-01-05,2008,5,4,60.0,0.0,30.0,1528.69566,0.0,2164.07661,3692.7722700000004,-0.025459161028265953,True,,SoybeanMG.3,"[1, 11, 4, 7, 4, 0, 5]"
159,0,2008-01-12,2008,12,4,135.0,80.0,12.0,3439.565235,15414.65744,865.630644,19719.853319,-0.13568994402885437,False,,,"[1, 8, 6, 7, 9, 10, 2]"
160,0,2008-01-19,2008,19,4,150.0,80.0,18.0,3821.73915,15414.65744,1298.445966,20534.842556,-0.1409139186143875,False,,,"[1, 10, 8, 4, 10, 10, 3]"
161,0,2008-01-26,2008,26,4,15.0,24.0,0.0,382.173915,4624.397232,0.0,5006.571147000001,-0.03426739200949669,False,,,"[0, 10, 5, 2, 1, 3, 0]"
162,0,2008-02-02,2008,33,4,150.0,80.0,18.0,3821.73915,15414.65744,1298.445966,20534.842556,-0.14007917046546936,False,,,"[0, 5, 3, 8, 10, 10, 3]"
163,0,2008-02-09,2008,40,4,150.0,16.0,30.0,3821.73915,3082.931488,2164.07661,9068.747248,-0.061650749295949936,False,,,"[0, 6, 5, 4, 10, 2, 5]"
164,0,2008-02-16,2008,47,4,90.0,24.0,54.0,2293.04349,4624.397232,3895.3378979999998,10812.778620000001,-0.07324209809303284,False,,,"[0, 0, 5, 5, 6, 3, 9]"
165,0,2008-02-23,2008,54,4,150.0,24.0,6.0,3821.73915,4624.397232,432.815322,8878.951704000001,-0.05992324277758598,False,,,"[1, 12, 8, 0, 10, 3, 1]"
166,0,2008-03-01,2008,61,4,105.0,64.0,18.0,2675.217405,12331.725952,1298.445966,16305.389323,-0.10958649963140488,False,,,"[1, 12, 7, 3, 7, 8, 3]"
