num_timesteps,env_index,date,year,doy,operation_year,n_kg,p_kg,k_kg,cost_n,cost_p,cost_k,cost_total,reward,planner_applied,window_compliant,crop_name,action_raw
61,0,2006-02-25,2006,56,2,135.0,24.0,30.0,2981.739195,2580.0024000000003,1691.3625,7253.104095000001,-0.09627189487218857,False,,,"[0, 4, 5, 7, 9, 3, 5]"
62,0,2006-03-04,2006,63,2,120.0,64.0,42.0,2650.4348400000003,6880.0064,2367.9075,11898.34874,-0.1565888375043869,False,,,"[0, 7, 8, 7, 8, 8, 7]"
63,0,2006-03-11,2006,70,2,0.0,56.0,48.0,0.0,6020.0056,2706.18,8726.1856,-0.11377005279064178,False,,,"[0, 1, 9, 3, 0, 7, 8]"
64,0,2006-03-18,2006,77,2,105.0,64.0,24.0,2319.130485,6880.0064,1353.09,10552.226885,-0.13611362874507904,False,,,"[0, 13, 4, 3, 7, 8, 4]"
65,0,2006-03-25,2006,84,2,45.0,40.0,60.0,993.9130650000001,4300.004,3382.725,8676.642065,-0.11065848916769028,False,,,"[0, 12, 0, 7, 3, 5, 10]"
66,0,2006-04-01,2006,91,2,15.0,32.0,18.0,331.30435500000004,3440.0032,1014.8174999999999,4786.125055,-0.06038781628012657,False,,,"[0, 9, 6, 5, 1, 4, 3]"
67,0,2006-04-08,2006,98,2,75.0,0.0,36.0,1656.5217750000002,0.0,2029.6349999999998,3686.156775,-0.04605117440223694,False,,,"[0, 2, 1, 7, 5, 0, 6]"
68,0,2006-04-15,2006,105,2,0.0,64.0,36.0,0.0,6880.0064,2029.6349999999998,8909.6414,-0.11013852804899216,False,,,"[0, 7, 3, 6, 0, 8, 6]"
69,0,2006-04-22,2006,112,2,60.0,72.0,36.0,1325.2174200000002,7740.0072,2029.6349999999998,11094.859620000001,-0.1355464905500412,False,,,"[1, 9, 7, 8, 4, 9, 6]"
70,0,2006-04-29,2006,119,2,30.0,64.0,54.0,662.6087100000001,6880.0064,3044.4525,10587.06761,-0.12770703434944153,False,,,"[1, 8, 9, 0, 2, 8, 9]"
71,0,2006-05-06,2006,126,2,15.0,24.0,42.0,331.30435500000004,2580.0024000000003,2367.9075,5279.214255000001,-0.06291445344686508,False,,,"[1, 4, 9, 0, 1, 3, 7]"
72,0,2006-05-13,2006,133,2,135.0,32.0,36.0,2981.739195,3440.0032,2029.6349999999998,8451.377395,-0.09947910904884338,False,,,"[0, 6, 8, 3, 9, 4, 6]"
73,0,2006-05-20,2006,140,2,90.0,40.0,36.0,1987.8261300000001,4300.004,2029.6349999999998,8317.46513,-0.09667989611625671,False,,,"[0, 3, 3, 4, 6, 5, 6]"
74,0,2006-05-27,2006,147,2,135.0,72.0,24.0,2981.739195,7740.0072,1353.09,12074.836395,-0.13844408094882965,False,,,"[1, 8, 4, 5, 9, 9, 4]"
75,0,2006-06-03,2006,154,2,15.0,72.0,30.0,331.30435500000004,7740.0072,1691.3625,9762.674055,-0.11036540567874908,False,,,"[0, 12, 0, 1, 1, 9, 5]"
76,0,2006-06-10,2006,161,2,75.0,48.0,48.0,1656.5217750000002,5160.004800000001,2706.18,9522.706575,-0.10611449927091599,False,,,"[0, 12, 5, 0, 5, 6, 8]"
77,0,2006-06-17,2006,168,2,60.0,0.0,0.0,1325.2174200000002,0.0,0.0,1325.2174200000002,-0.01458260789513588,False,,,"[0, 11, 0, 9, 4, 0, 0]"
78,0,2006-06-24,2006,175,2,105.0,32.0,0.0,2319.130485,3440.0032,0.0,5759.133685000001,-0.06261539459228516,False,,,"[1, 0, 7, 0, 7, 4, 0]"
79,0,2006-07-01,2006,182,2,60.0,80.0,42.0,1325.2174200000002,8600.008,2367.9075,12293.13292,-0.13192744553089142,False,,,"[0, 10, 7, 7, 4, 10, 7]"
80,0,2006-07-08,2006,189,2,60.0,0.0,18.0,1325.2174200000002,0.0,1014.8174999999999,2340.03492,-0.02482234500348568,False,,,"[1, 4, 7, 9, 4, 0, 3]"
81,0,2006-07-15,2006,196,2,15.0,0.0,12.0,331.30435500000004,0.0,676.545,1007.8493550000001,-0.010583178140223026,False,,,"[1, 8, 4, 1, 1, 0, 2]"
82,0,2006-07-22,2006,203,2,120.0,72.0,42.0,2650.4348400000003,7740.0072,2367.9075,12758.34954,-0.1324809342622757,False,,,"[1, 8, 4, 4, 8, 9, 7]"
83,0,2006-07-29,2006,210,2,150.0,40.0,48.0,3313.0435500000003,4300.004,2706.18,10319.22755,-0.10591140389442444,False,,,"[1, 11, 8, 6, 10, 5, 8]"
84,0,2006-08-05,2006,217,2,150.0,80.0,12.0,3313.0435500000003,8600.008,676.545,12589.59655,-0.12760305404663086,False,,,"[1, 12, 3, 0, 10, 10, 2]"
85,0,2006-08-12,2006,224,2,120.0,56.0,30.0,2650.4348400000003,6020.0056,1691.3625,10361.80294,-0.10367988049983978,False,,,"[0, 1, 8, 9, 8, 7, 5]"
86,0,2006-08-19,2006,231,2,120.0,80.0,6.0,2650.4348400000003,8600.008,338.2725,11588.715339999999,-0.11441250145435333,False,,,"[1, 1, 2, 9, 8, 10, 1]"
87,0,2006-08-26,2006,238,2,15.0,64.0,18.0,331.30435500000004,6880.0064,1014.8174999999999,8226.128255,-0.08015056699514389,False,,,"[1, 4, 1, 1, 1, 8, 3]"
88,0,2006-09-02,2006,245,2,60.0,8.0,12.0,1325.2174200000002,860.0008,676.545,2861.7632200000003,-0.02755248360335827,False,,,"[1, 9, 9, 5, 4, 1, 2]"
89,0,2006-09-09,2006,252,2,30.0,8.0,48.0,662.6087100000001,860.0008,2706.18,4228.7895100000005,-0.040265798568725586,False,,,"[1, 12, 7, 6, 2, 1, 8]"
